categoria,office,titolo,data_inizio,data_fine,paese,citta,settore,tipologia,descrizione,public
"Iniziative promozionali in Italia e all'estero","Belgrado","SIMAC TANNING TECH","2024-09-17","2024-09-19","Italia","Milano","Macchine per calzature","Fiera. Incoming operatori esteri a contributo","Missione di 3 operatori serbi. Visita alla Fiera e B2B con gli espositori italiani",True
"Iniziative promozionali in Italia e all'estero","Belgrado","B2CHESSE e TERRAMADRE","2024-09-25","2024-09-30","Italia","Bergamo/Torino","Alimentare","Salone formaggio e prodotti alimentari, Incoming","Missione di 2 operatori serbi. Visita alla Fiera e incontri B2B con gli espositori italiani",True
"Iniziative promozionali in Italia e all'estero","Belgrado","INOUT","2024-10-09","2024-10-11","Italia","Rimini","Arredamento contract","Fiera. Incoming operatori esteri","Missione di 2 operatori serbi. Visita alla fiera e B2B con gli espositori italiani",True
"Iniziative promozionali in Italia e all'estero","Belgrado","BIMU","2024-10-09","2024-10-12","Italia","Milano","Macchine utensili","Fiera. Incoming operatori esteri","Missione di 5 operatori serbi, visita alla fiera e B2B con espositori.",True
"Iniziative promozionali in Italia e all'estero","Belgrado","LAB INNOVA STUDY TOUR","2024-11-05","2024-11-09","Italia","Bologna e dintorni","Macchine agricole e alimentari","Visita alle aziende e alla fiera EIMA, macc. agricole","Missione di 6 operatori serbi, visita alle aziende del comparto e alla Fiera EIMA 2024",True
"Iniziative promozionali in Italia e all'estero","Belgrado","EIMA","2024-11-06","2024-11-10","Italia","Bologna e dintorni","Macchine agricole e alimentari","Fiera. Incoming a contributo","Missione di 6 operatori serbi e 1 giornalista. Visita alla fiera e B2B con espositori, su business agenda",True
"Iniziative promozionali in loco","Belgrado","AGROBELGRADE","2024-01-25","2024-01-27","Serbia","Belgrado","Macchine agricole","Fiera. Punto informativo","Stand informativo di 9 m2 gratuitamente offerto dalla Fiera di Belgrado",True
"Iniziative promozionali in loco","Belgrado","MISSIONE DI RICOGNIZIONE NEI BALCANI ICE-UCIMU","2024-01-25","2024-01-29","Serbia","Belgrado","Metalmeccanico","Business tour","Missione UCIMU - visite aziende ed enti in Serbia",True
"Iniziative promozionali in loco","Belgrado","DESIGN DAY 2024","2024-03-26","2024-03-26","Serbia","Belgrado","Mobili / Arredo","Conferenza e mostra","Conferenza sulle eccellenze di design italiano nel settore dei mobili e mostra sedie storiche",True
"Iniziative promozionali in loco","Belgrado","FIERA DI AGRICOLTURA","2024-05-18","2024-05-23","Serbia","Novi Sad","Macchine agricole","Partecipazione collettiva italiana alla Fiera","Stand collettivo di ca. 350 m2, prevista la partecipazione di ca. 20 aziende italiane, in collaborazione con UNACOMA",True
"Iniziative promozionali in loco","Belgrado","LAB INNOVA SUD ED EAST EUROPA 2024","2024-06-04","2024-06-06","Serbia","Belgrado","Agroalimentare","Corso di formazione marketing internazionale, tecnologie digitali ed innovative, packaging, sostenibilita'","Corso per circa 20 operatori totali, di cui 3-4 dal Montengro: importatori di macchine agricole, produttori o trasformatori di latte, carne, verdure e frutta",True
"Iniziative promozionali in loco","Belgrado","FITNESS & BENNESERE Campagna social media","2024-06-01","2024-06-30","Serbia","Belgrade","Fitness","Campagna social media","Presentazione delle aziende sui social media con i influencer",True
"Iniziative promozionali in loco","Belgrado","PROMOZIONE ANVE ICE FLOROVIVAISMO","2024-10-22","2024-10-24","Serbia","Belgrado","Florovivaismo","Studio di mercato, attivita' di comunicazione, missione operatori italiani in loco con i B2B","Attivita' coordinata tra l'ICE e ANVE (vivaisti esportatori), in collaborazione dell'Associazione serba per l'orticoltura paesaggistica",True
"Iniziative promozionali in loco","Belgrado","SETTIMANA DELLA CUCINA ITALIANA NEL MONDO","2024-11-15","2024-11-21","Serbia","Belgrado","Agroalimentare","Promozione della cucina italiana","Degustazione di vini italiani",True
"Iniziative promozionali in loco","Belgrado","WINE VISION BY OPEN BALKAN","2024-11-21","2024-11-24","Serbia","Belgrado","Vino","Padiglione italiano alla Fiera","Stand ICE con la sala degustazioni per 50 persone per presentare i vini degli espositori selezionati tramite Vinitaly, Verona Fiere",True
"Iniziative promozionali in Italia e all'estero","Belgrado","MIDO","2025-02-08","2025-02-10","Italia","Milano","Occhialeria","Fiera. Incoming operatori esteri a contributo con IES - International Eyewear solutions SRL","Missione di 2 operatori serbi. Visita alla Fiera e incontri B2B con gli espositori italiani",True
"Iniziative promozionali in Italia e all'estero","Belgrado","Fashion & Jewels","2025-02-22","2025-02-25","Italia","Milano","moda, accessori moda e bigiotteria","Fiera. Incoming operatori esteri","Missione di 1 operatore serbo. Visita alla Fiera e incontri B2B con gli espositori italiani RINUNCIA",True
"Iniziative promozionali in Italia e all'estero","Belgrado","MICAM","2025-02-23","2025-02-25","Italia","Milano","Calzature","Fiera. Incoming operatori esteri a contributo","Missione di 2 operatori serbi. Visita alla Fiera e incontri B2B con gli espositori italiani",True
"Iniziative promozionali in Italia e all'estero","Belgrado","SANA Food & Wine","2025-02-23","2025-02-25","Italia","Bologna","Food & Wine","Fiera, incoming operatori esteri","Missione di 4 operatori serbi. Visita alle Fiera e incontri B2B con gli espositori italiani",True
"Iniziative promozionali in Italia e all'estero","Belgrado","COSMOPROF WORLDWIDE BOLOGNA","2025-03-20","2025-03-23","Italia","Bologna","Cosmetica","Fiera. Incoming operatori esteri","Missione di 1 operatore serbo (piu' numero di operatori da definire con trattamento ON SITE). Visita alla Fiera e incontri B2B con gli espositori italiani",True
"Iniziative promozionali in Italia e all'estero","Belgrado","INCOMING MARMO a CUSTONACI","2025-03-18","2025-03-21","Italia","Custonaci","Marmo","Incoming operatori esteri","Missione di 3 operatori serbi. Visita alle cave e incontri B2B con gli espositori italiani",True
"Iniziative promozionali in Italia e all'estero","Belgrado","EUROFLORA","2025-04-24","2025-05-04","Italia","Genova","florovivaistico","Fiera. Incoming operatori esteri","Missione di 5 operatori serbi nel periodo 25-28 aprile 2025. Visita alla Fiera, visite guidate e incontri B2B con gli espositori italiani",True
"Iniziative promozionali in Italia e all'estero","Belgrado","SALONE DEL MOBILE","2025-04-08","2025-04-13","Italia","Milano","Arredamento","Fiera. Incoming operatori esteri","Missione di 1 operatore serbo. Visita alla Fiera e incontri B2B con gli espositori italiani",True
"Iniziative promozionali in Italia e all'estero","Belgrado","VINITALY","2025-04-06","2025-04-09","Italia","Verona","Vino","Fiera. Incoming operatori esteri","Missione di 8 operatori serbi. Visita alla Fiera, degustazione guidate con consorzi, agenda B2B",True
"Iniziative promozionali in Italia e all'estero","Belgrado","MACFRUT","2025-05-06","2025-05-08","Italia","Cesena","Macchine frutticoltura","Fiera, Incoming operatori","Missione di 5 operatori serbi. Visita alla Fiera e incontri B2B con gli espositori italiani",True
"Iniziative promozionali in Italia e all'estero","Belgrado","GREENPLAST","2025-05-27","2025-05-30","Italia","Milano","Plastica","Fiera. Incoming operatori esteri","Missione di 4 operatori serbi. Visita alla Fiera e incontri B2B con gli espositori italiani",True
"Iniziative promozionali in Italia e all'estero","Belgrado","LAMIERA","2025-05-03","2025-05-06","Italia","Milano","Metalmeccanica","Fiera delle macchine lavorazione metallo","Missione di 3 operatori serbi. Visita alla Fiera e incontri B2B con gli espositori italiani",True
"Iniziative promozionali in Italia e all'estero","Belgrado","AUTOPROMOTEC","2025-05-21","2025-05-24","Italia","Bologna","Officine, componentistica","Fiera. Incoming operatori esteri a contributo","Missione di 2 operatori serbi. Visita alla Fiera e incontri B2B con gli espositori italiani",True
"Iniziative promozionali in Italia e all'estero","Belgrado","GREENITALY","2025-10-15","2025-10-17","Italia","Parma","florovivaistico","Fiera. Incoming operatori esteri","Missione di 6 operatori serbi. Visita alla Fiera, visite guidate e incontri B2B con gli espositori italiani",True
"Iniziative promozionali in loco","Belgrado","BUSINESS FORUM ITALIA-SERBIA","2025-01-31","2025-01-31","Serbia","Belgrado","Forum Imprenditoriale Italia-Serbia","Forum e B2B","Forum, in collaborazione con l'Ambasciata d'Italia con i B2B. Settori: Economia circolare e transizione energetica, Agri-tech e Industria 5.0, Infrastrutture fisiche e immateriali",True
"Iniziative promozionali in loco","Belgrado","FIERA DEL TURISMO","2025-02-20","2025-02-23","Serbia","Belgrado","Turismo","Partecipazione collettiva italiana alla Fiera / B2B","Italia Paese Partner / presenza ENIT",True
"Iniziative promozionali in loco","Belgrado","DESIGN DAY 2025","2025-03-17","2025-03-17","Serbia","Belgrado","Mobili / Arredo","Mostra /Conferenza","Mostra/Conferenza sulle eccellenze di design italiano nel settore dei mobili.",True
"Iniziative promozionali in loco","Belgrado","FIERA DI AGRICOLTURA","2025-05-17","2025-05-22","Serbia","Novi Sad","Macchine agricole","Partecipazione collettiva italiana alla Fiera","Stand collettivo prevista la partecipazione di ca. 20 aziende italiane, in collaborazione con FEDERUNACOMA",True
"Iniziative promozionali in loco","Belgrado","WINE VISION BY OPEN BALKAN","2025-11-22","2025-11-25","Serbia","Belgrado","Vino","Padiglione italiano alla Fiera","Stand ICE con la sala degustazioni per 50 persone per presentare i vini degli espositori selezionati tramite Vinitaly, Verona Fiere",True
"Iniziative promozionali in loco","Belgrado","NOTTE DEI VINI ITALIANI","2025-11-17","2025-11-23","Serbia","Belgrado","Vino","Mini fiera presso mercato di Palilula","Stand di importatori distributori di vino e alimenti italiani",True
"Iniziative promozionali in loco","Belgrado","UCIMU STUDY TOUR","2025-09-01","2025-09-05","Serbia","Belgrado","Macchine utensili","Study tour","Studio tour per operatori del settore macchine utensili",True
"Iniziative promozionali in Italia e all'estero","Podgorica","Mido","2024-02-02","2024-02-05","Italia","Milano","Occhialeria","Fiera. Incoming operatori esteri a contributo","Missione di 2 operatori montengrini. Visita alla Fiera e incontri B2B con gli espositori italiani",True
"Iniziative promozionali in Italia e all'estero","Podgorica","Promozione di Pomodoro di Pachino","2024-02-20","2024-02-22","Italia","Catania","Agroalimentare","Mostra. Incoming operatori esteri","Missione di 1 operatore montengrino. Incontri B2B e visite aziendali",True
"Iniziative promozionali in Italia e all'estero","Podgorica","Sirha Budapest 2024","2024-03-05","2024-03-07","Ungheria","Budapest","Agroalimentare","Fiera. Incoming operatori esteri","Missione di 1 o 2 operatori montenegrini. Visita alla Fiera e B2B con gli espositori italiani",True
"Iniziative promozionali in Italia e all'estero","Podgorica","Salone nautico di Venezia","2024-05-29","2024-06-02","Italia","Venezia","Nautico","Fiera Incoming operatori esteri","Missione di 1 operatore montenegrino. Vista alla fiera e B2B con gli espositori italiani",True
"Iniziative promozionali in Italia e all'estero","Podgorica","B2chesse e Terramadre","2024-09-25","2024-09-30","Italia","Bergamo/Torino","Alimentare","Salone formaggio e prodotti alimentari, Incoming","Missione di 1 operatore montenegrino. Visita alla Fiera e incontri B2B con gli espositori italiani",True
"Iniziative promozionali in Italia e all'estero","Podgorica","Flormart","2024-09-25","2024-09-27","Italia","Padova","Florovivaistico","Fiera. Incoming operatori esteri","Missione di 2 operatori montenegrini. Visita alla Fiera e B2B con gli espositori italia",True
"Iniziative promozionali in Italia e all'estero","Podgorica","Inout","2024-10-09","2024-10-11","Italia","Rimini","Arredamento contract","Fiera. Incoming operatori esteri","Missione di 2 operatori montenegrini. Visita alla fiera e B2B con gli espositori italiani",True
"Iniziative promozionali in Italia e all'estero","Podgorica","Lab Innova Study Tour","2024-11-05","2024-11-09","Italia","Bologna e dintorni","Macchine agricole e alimentari","Visita alle aziende e alla fiera Eima, macc. agricole","Missione di 6 operatore montenegrino, visita alle aziende del comparto e alla Fiera Eima 2021",True
"Iniziative promozionali in Italia e all'estero","Podgorica","Eima","2024-11-06","2024-11-10","Italia","Bologna e dintorni","Macchine agricole e alimentari","Fiera. Incoming a contributo","Missione di 6 operatori montenegrini. Visita alla fiera e B2B con espositori, su business agenda",True
"Iniziative promozionali in loco","Podgorica","Design Day 2024","2024-03-21","2024-03-21","Montenegro","Podgorica","Mobili / Arredo","Workshop e mostra","Workshop su arredi e complementi d'arredo per piccoli spazi domestici, realizzazione di prodotti a impatto zero che consentono il riutilizzo  degli sfridi di produzione. Partner locale: Camera degli ingegneri del Montenegro",True
"Iniziative promozionali in loco","Podgorica","Fiera di Agricoltura","2024-05-19","2024-05-22","Serbia","Novi Sad","Macchine agricole","Fiera. Incoming operatori montenegrini","Missione di 2 operatori montenegrini. Partecipazione al seminario, visita alla Fiera e incontri B2B con gli espositori italiani",True
"Iniziative promozionali in loco","Podgorica","Lab Innova Sud ed East Europa 2024","2024-06-04","2024-06-06","Serbia","Belgrado","Agroalimentare","Corso di formazione marketing internazionale, tecnologie digitali ed innovative, packaging, sostenibilita'","Corso per circa 20 operatori totali, di cui 3-4 dal Montenegro: importatori di macchine agricole, produttori o trasformatori di latte, carne, verdure e frutta",True
"Iniziative promozionali in loco","Podgorica","Promozione con la Gdo","2024-07-01","2024-08-31","Montenegro","Podgorica e Budva","Agroalimentare","Follow up Promozione di prodotti italiani con la Gdo","Promozione di prodotti agroalimentari italiani presso i punti vendita di Podgorica e Budva. Partner locale: Gdo Domaća trgovina e la Facoltà alberghiera Hec di Budva",True
"Iniziative promozionali in loco","Podgorica","Settimana della Cucina Italiana nel Mondo","2025-11-03","2025-11-23","Montenegro","Podgorica","Agroalimentare","Promozione della cucina italiana","Presentazione di piatti regionali con il coinvolgimento di un Chef italiano e in collaborazione con l'Istituto alberghiero di Roccaraso. Partner locale: Facoltà alberghiera Hec di Budva",True
"Iniziative promozionali in Italia e all'estero","Podgorica","Mido","2025-02-08","2025-02-10","Italia","Milano","Occhialeria","Fiera. Incoming operatori esteri a contributo con Ies - International Eyewear solutions Srl","Missione di 1 operatore montenegrino. Visita alla Fiera e incontri B2B con gli espositori italiani",True
"Iniziative promozionali in Italia e all'estero","Podgorica","Vinitaly","2025-04-06","2025-04-09","Italia","Verona","Vino","Fiera. Incoming operatori esteri","Missione di 2 operatori montenegrini. Visita alla Fiera, degustazione guidate con consorzi, agenda B2B",True
"Iniziative promozionali in Italia e all'estero","Podgorica","Greenitaly","2025-10-15","2025-10-17","Italia","Parma","Florovivaistico","Fiera. Incoming operatori esteri","Missione operatori montenegrini. Visita alla Fiera e incontri B2B con gli espositori italiani",True
